id,title,status,is_active,country,website,sphere_dataset_link,links_to_data,has_numerical_data,has_presence_values,population,sampled_locations,sampling_started,total_samples,total_dates_sampled,last_update,notes,targets,data_format,sampling_technique,category
ea0fd55c-26ba-46f8-aedf-0780e39db781,Germany - Berlin Dashboard,,True,DE,"{'uri': 'https://bimsbstatic.mdc-berlin.de/akalin/AAkalin_pathogenomics/sarscov2_ww_reports/210528_wastewaterall_pigxsarscov2ww_default/index.html', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
3feb1f0d-e83e-49ee-85fe-711627a832ea,USA - New York - Erie (County),,True,US,"{'uri': 'https://storymaps.arcgis.com/stories/976d047d5f0f49789e1fe865dd5407e1', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
13a9ab1c-2a30-4a73-ba28-15bbfcbc0250,Australia - Victoria - DHHS Dashboard ,,True,AU,"{'uri': 'https://www.dhhs.vic.gov.au/wastewater-monitoring-covid-19', 'title': '', 'options': []}",https://dev.w4c.venthic.com/sites/default/files/uploaded_resources/victoria_samples_202106.geojson,[],False,False,,,2020-08-24,6301,256,,,,Website,,Data Dashboard included in W-SPHERE (not standardized)
3498fbbf-f891-470f-88b8-d797105c132c,Nepal - Working Group,,True,NP,,,[],True,True,,,2021-03-29,368,,,,E; N1; N2,,,Data Dashboard included in W-SPHERE (not standardized)
834ae8c1-96e0-496f-8570-0d442cc54054,Canada - Ontario - Ottawa ,,True,CA,"{'uri': 'https://613covid.ca/wastewater/#', 'title': '', 'options': []}",,[],True,True,,,2020-07-29,373,352,,,N1; N2; PMMoV,CSV,,Data Dashboard included in W-SPHERE
52051399-e2f8-49f6-b3bd-81b6809cca3b,"Canada - Ontario - Barrie, Collingwood, Midland, Orillia",,False,CA,"{'uri': 'https://www.simcoemuskokahealthstats.org/topics/infectious-diseases/a-h/covid-19/covid-19-wastewater-surveillance', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
ef2959f8-f0b6-496b-aec1-6be8217b420d,South Africa - Gauteng - Johannesburg,,True,ZA,"{'uri': 'https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/surveillance-reports/weekly-reports/wastewater-based-epidemiology-for-sars-cov-2-in-south-africa/', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
1b94c399-24f2-493a-a434-ac32cd759174,"Brazil - Belo Horizonte, Brasilia, Curitiba, Recife, Rio de Janeiro",,True,BR,"{'uri': 'https://app.powerbi.com/view?r=eyJrIjoiNzMxYjdiZGYtZDVjNy00NTMwLWIwZmItYmQwOWJhNzk3YmU1IiwidCI6Ijc1NmU3MTc4LTA1ZmYtNGVmYy05OTY2LTU2ODFlNjE2MjA3MCJ9&pageName=ReportSectiond497bb36400a320db4c7', 'title': '', 'options': []}",,[],True,True,,,,0,0,,,,,,Data Dashboard
54042d34-3217-4e94-bcf5-2d5145450600,USA - Kentucky - Louisville,,False,US,"{'uri': 'https://louisville.edu/envirome/thecoimmunityproject/dashboard', 'title': '', 'options': []}",,[],True,True,,,2020-09-03,85,0,,,N1; PMMoV,,,Data Dashboard included in W-SPHERE
314041d9-a573-427a-82b4-cf4969cc28e7,Pakistan - Karachi - Working group,,True,PA,,,[],True,True,,,2021-06-10,150,,,,N1; N2,,,Data Dashboard included in W-SPHERE (not standardized)
cbc64b82-3e0f-40ca-adb7-d75989be1379,USA - New Mexico Dashboard,,False,US,"{'uri': 'https://www.env.nm.gov/wastewater-surveillance-system-data-dashboard/', 'title': '', 'options': []}",https://sphere.waterpathogens.org/sites/default/files/uploaded_resources/new_mexico_samples.geojson,[],False,False,,,2020-12-09,2224,60,,,,,,Data Dashboard included in W-SPHERE (not standardized)
